Shortcut,Action,Application,OS,Category,Description,Frequency
Ctrl+Shift+P,Command Palette,Windows,Windows,File Explorer,Command Palette action in Windows,High
Alt+Tab,Switch Window,Windows,Windows,File Explorer,Switch Window action in Windows,High
Ctrl+Tab,Next Tab,Windows,Windows,File Explorer,Next Tab action in Windows,High
F1,Help,Windows,Windows,File Explorer,Help action in Windows,High
F2,Rename,Windows,Windows,File Explorer,Rename action in Windows,High
F5,Refresh,Windows,Windows,File Explorer,Refresh action in Windows,High
Ctrl+L,Focus Address Bar,Windows,Windows,File Explorer,Focus Address Bar action in Windows,High
Ctrl+D,Bookmark,Windows,Windows,File Explorer,Bookmark action in Windows,High
Ctrl+C,Copy,macOS,macOS,System,Copy action in macOS,High
Ctrl+V,Paste,macOS,macOS,System,Paste action in macOS,High
Ctrl+X,Cut,macOS,macOS,System,Cut action in macOS,High
Ctrl+Z,Undo,macOS,macOS,System,Undo action in macOS,High
Ctrl+Y,Redo,macOS,macOS,System,Redo action in macOS,High
Ctrl+S,Save,macOS,macOS,System,Save action in macOS,High
Ctrl+O,Open,macOS,macOS,System,Open action in macOS,High
Ctrl+N,New,macOS,macOS,System,New action in macOS,High
Ctrl+P,Print,macOS,macOS,System,Print action in macOS,High
Ctrl+F,Find,macOS,macOS,System,Find action in macOS,High
Ctrl+H,Replace,macOS,macOS,System,Replace action in macOS,High
Ctrl+A,Select All,macOS,macOS,System,Select All action in macOS,High
Ctrl+B,Bold,macOS,macOS,System,Bold action in macOS,High
Ctrl+I,Italic,macOS,macOS,System,Italic action in macOS,High
Ctrl+U,Underline,macOS,macOS,System,Underline action in macOS,High
Ctrl+T,New Tab,macOS,macOS,System,New Tab action in macOS,High
Ctrl+W,Close Tab,macOS,macOS,System,Close Tab action in macOS,High
Ctrl+Shift+P,Command Palette,macOS,macOS,System,Command Palette action in macOS,High
Alt+Tab,Switch Window,macOS,macOS,System,Switch Window action in macOS,High
Ctrl+Tab,Next Tab,macOS,macOS,System,Next Tab action in macOS,High
F1,Help,macOS,macOS,System,Help action in macOS,High
F2,Rename,macOS,macOS,System,Rename action in macOS,High
F5,Refresh,macOS,macOS,System,Refresh action in macOS,High
Ctrl+L,Focus Address Bar,macOS,macOS,System,Focus Address Bar action in macOS,High
Ctrl+D,Bookmark,macOS,macOS,System,Bookmark action in macOS,High
Ctrl+C,Copy,macOS,macOS,Finder,Copy action in macOS,High
Ctrl+V,Paste,macOS,macOS,Finder,Paste action in macOS,High
Ctrl+X,Cut,macOS,macOS,Finder,Cut action in macOS,High
Ctrl+Z,Undo,macOS,macOS,Finder,Undo action in macOS,High
Ctrl+Y,Redo,macOS,macOS,Finder,Redo action in macOS,High
Ctrl+S,Save,macOS,macOS,Finder,Save action in macOS,High
Ctrl+O,Open,macOS,macOS,Finder,Open action in macOS,High
Ctrl+N,New,macOS,macOS,Finder,New action in macOS,High
Ctrl+P,Print,macOS,macOS,Finder,Print action in macOS,High
Ctrl+F,Find,macOS,macOS,Finder,Find action in macOS,High
Ctrl+H,Replace,macOS,macOS,Finder,Replace action in macOS,High
Ctrl+A,Select All,macOS,macOS,Finder,Select All action in macOS,High
Ctrl+B,Bold,macOS,macOS,Finder,Bold action in macOS,High
Ctrl+I,Italic,macOS,macOS,Finder,Italic action in macOS,High
Ctrl+U,Underline,macOS,macOS,Finder,Underline action in macOS,High
Ctrl+T,New Tab,macOS,macOS,Finder,New Tab action in macOS,High
Ctrl+W,Close Tab,macOS,macOS,Finder,Close Tab action in macOS,High
Ctrl+Shift+P,Command Palette,macOS,macOS,Finder,Command Palette action in macOS,High
Alt+Tab,Switch Window,macOS,macOS,Finder,Switch Window action in macOS,High
Ctrl+Tab,Next Tab,macOS,macOS,Finder,Next Tab action in macOS,High
F1,Help,macOS,macOS,Finder,Help action in macOS,High
F2,Rename,macOS,macOS,Finder,Rename action in macOS,High
F5,Refresh,macOS,macOS,Finder,Refresh action in macOS,High
Ctrl+L,Focus Address Bar,macOS,macOS,Finder,Focus Address Bar action in macOS,High
Ctrl+D,Bookmark,macOS,macOS,Finder,Bookmark action in macOS,High
Ctrl+C,Copy,KDE Plasma,Windows/macOS/Linux,Desktop,Copy action in KDE Plasma,High
Ctrl+V,Paste,KDE Plasma,Windows/macOS/Linux,Desktop,Paste action in KDE Plasma,High
Ctrl+X,Cut,KDE Plasma,Windows/macOS/Linux,Desktop,Cut action in KDE Plasma,High
Ctrl+Z,Undo,KDE Plasma,Windows/macOS/Linux,Desktop,Undo action in KDE Plasma,High
Ctrl+Y,Redo,KDE Plasma,Windows/macOS/Linux,Desktop,Redo action in KDE Plasma,High
Ctrl+S,Save,KDE Plasma,Windows/macOS/Linux,Desktop,Save action in KDE Plasma,High
Ctrl+O,Open,KDE Plasma,Windows/macOS/Linux,Desktop,Open action in KDE Plasma,High
Ctrl+N,New,KDE Plasma,Windows/macOS/Linux,Desktop,New action in KDE Plasma,High
Ctrl+P,Print,KDE Plasma,Windows/macOS/Linux,Desktop,Print action in KDE Plasma,High
Ctrl+F,Find,KDE Plasma,Windows/macOS/Linux,Desktop,Find action in KDE Plasma,High
Ctrl+H,Replace,KDE Plasma,Windows/macOS/Linux,Desktop,Replace action in KDE Plasma,High
Ctrl+A,Select All,KDE Plasma,Windows/macOS/Linux,Desktop,Select All action in KDE Plasma,High
Ctrl+B,Bold,KDE Plasma,Windows/macOS/Linux,Desktop,Bold action in KDE Plasma,High
Ctrl+I,Italic,KDE Plasma,Windows/macOS/Linux,Desktop,Italic action in KDE Plasma,High
Ctrl+U,Underline,KDE Plasma,Windows/macOS/Linux,Desktop,Underline action in KDE Plasma,High
Ctrl+T,New Tab,KDE Plasma,Windows/macOS/Linux,Desktop,New Tab action in KDE Plasma,High
Ctrl+W,Close Tab,KDE Plasma,Windows/macOS/Linux,Desktop,Close Tab action in KDE Plasma,High
Ctrl+Shift+P,Command Palette,KDE Plasma,Windows/macOS/Linux,Desktop,Command Palette action in KDE Plasma,High
Alt+Tab,Switch Window,KDE Plasma,Windows/macOS/Linux,Desktop,Switch Window action in KDE Plasma,High
Ctrl+Tab,Next Tab,KDE Plasma,Windows/macOS/Linux,Desktop,Next Tab action in KDE Plasma,High
F1,Help,KDE Plasma,Windows/macOS/Linux,Desktop,Help action in KDE Plasma,High
F2,Rename,KDE Plasma,Windows/macOS/Linux,Desktop,Rename action in KDE Plasma,High
F5,Refresh,KDE Plasma,Windows/macOS/Linux,Desktop,Refresh action in KDE Plasma,High
Ctrl+L,Focus Address Bar,KDE Plasma,Windows/macOS/Linux,Desktop,Focus Address Bar action in KDE Plasma,High
Ctrl+D,Bookmark,KDE Plasma,Windows/macOS/Linux,Desktop,Bookmark action in KDE Plasma,High
Ctrl+C,Copy,GNOME,Windows/macOS/Linux,Desktop,Copy action in GNOME,High
Ctrl+V,Paste,GNOME,Windows/macOS/Linux,Desktop,Paste action in GNOME,High
Ctrl+X,Cut,GNOME,Windows/macOS/Linux,Desktop,Cut action in GNOME,High
Ctrl+Z,Undo,GNOME,Windows/macOS/Linux,Desktop,Undo action in GNOME,High
Ctrl+Y,Redo,GNOME,Windows/macOS/Linux,Desktop,Redo action in GNOME,High
Ctrl+S,Save,GNOME,Windows/macOS/Linux,Desktop,Save action in GNOME,High
Ctrl+O,Open,GNOME,Windows/macOS/Linux,Desktop,Open action in GNOME,High
Ctrl+N,New,GNOME,Windows/macOS/Linux,Desktop,New action in GNOME,High
Ctrl+P,Print,GNOME,Windows/macOS/Linux,Desktop,Print action in GNOME,High
Ctrl+F,Find,GNOME,Windows/macOS/Linux,Desktop,Find action in GNOME,High
Ctrl+H,Replace,GNOME,Windows/macOS/Linux,Desktop,Replace action in GNOME,High
Ctrl+A,Select All,GNOME,Windows/macOS/Linux,Desktop,Select All action in GNOME,High
Ctrl+B,Bold,GNOME,Windows/macOS/Linux,Desktop,Bold action in GNOME,High
Ctrl+I,Italic,GNOME,Windows/macOS/Linux,Desktop,Italic action in GNOME,High
Ctrl+U,Underline,GNOME,Windows/macOS/Linux,Desktop,Underline action in GNOME,High
Ctrl+T,New Tab,GNOME,Windows/macOS/Linux,Desktop,New Tab action in GNOME,High
Ctrl+W,Close Tab,GNOME,Windows/macOS/Linux,Desktop,Close Tab action in GNOME,High
Ctrl+Shift+P,Command Palette,GNOME,Windows/macOS/Linux,Desktop,Command Palette action in GNOME,High
Alt+Tab,Switch Window,GNOME,Windows/macOS/Linux,Desktop,Switch Window action in GNOME,High
Ctrl+Tab,Next Tab,GNOME,Windows/macOS/Linux,Desktop,Next Tab action in GNOME,High
F1,Help,GNOME,Windows/macOS/Linux,Desktop,Help action in GNOME,High
F2,Rename,GNOME,Windows/macOS/Linux,Desktop,Rename action in GNOME,High
F5,Refresh,GNOME,Windows/macOS/Linux,Desktop,Refresh action in GNOME,High
Ctrl+L,Focus Address Bar,GNOME,Windows/macOS/Linux,Desktop,Focus Address Bar action in GNOME,High
Ctrl+D,Bookmark,GNOME,Windows/macOS/Linux,Desktop,Bookmark action in GNOME,High
Ctrl+C,Copy,Chrome,Windows/macOS/Linux,Browser,Copy action in Chrome,High
Ctrl+V,Paste,Chrome,Windows/macOS/Linux,Browser,Paste action in Chrome,High
Ctrl+X,Cut,Chrome,Windows/macOS/Linux,Browser,Cut action in Chrome,High
Ctrl+Z,Undo,Chrome,Windows/macOS/Linux,Browser,Undo action in Chrome,High
Ctrl+Y,Redo,Chrome,Windows/macOS/Linux,Browser,Redo action in Chrome,High
Ctrl+S,Save,Chrome,Windows/macOS/Linux,Browser,Save action in Chrome,High
Ctrl+O,Open,Chrome,Windows/macOS/Linux,Browser,Open action in Chrome,High
Ctrl+N,New,Chrome,Windows/macOS/Linux,Browser,New action in Chrome,High
Ctrl+P,Print,Chrome,Windows/macOS/Linux,Browser,Print action in Chrome,High
Ctrl+F,Find,Chrome,Windows/macOS/Linux,Browser,Find action in Chrome,High
Ctrl+H,Replace,Chrome,Windows/macOS/Linux,Browser,Replace action in Chrome,High
Ctrl+A,Select All,Chrome,Windows/macOS/Linux,Browser,Select All action in Chrome,High
Ctrl+B,Bold,Chrome,Windows/macOS/Linux,Browser,Bold action in Chrome,High
Ctrl+I,Italic,Chrome,Windows/macOS/Linux,Browser,Italic action in Chrome,High
Ctrl+U,Underline,Chrome,Windows/macOS/Linux,Browser,Underline action in Chrome,High
Ctrl+T,New Tab,Chrome,Windows/macOS/Linux,Browser,New Tab action in Chrome,High
Ctrl+W,Close Tab,Chrome,Windows/macOS/Linux,Browser,Close Tab action in Chrome,High
Ctrl+Shift+P,Command Palette,Chrome,Windows/macOS/Linux,Browser,Command Palette action in Chrome,High
Alt+Tab,Switch Window,Chrome,Windows/macOS/Linux,Browser,Switch Window action in Chrome,High
Ctrl+Tab,Next Tab,Chrome,Windows/macOS/Linux,Browser,Next Tab action in Chrome,High
F1,Help,Chrome,Windows/macOS/Linux,Browser,Help action in Chrome,High
F2,Rename,Chrome,Windows/macOS/Linux,Browser,Rename action in Chrome,High
F5,Refresh,Chrome,Windows/macOS/Linux,Browser,Refresh action in Chrome,High
Ctrl+L,Focus Address Bar,Chrome,Windows/macOS/Linux,Browser,Focus Address Bar action in Chrome,High
Ctrl+D,Bookmark,Chrome,Windows/macOS/Linux,Browser,Bookmark action in Chrome,High
Ctrl+C,Copy,Firefox,Windows/macOS/Linux,Browser,Copy action in Firefox,High
Ctrl+V,Paste,Firefox,Windows/macOS/Linux,Browser,Paste action in Firefox,High
Ctrl+X,Cut,Firefox,Windows/macOS/Linux,Browser,Cut action in Firefox,High
Ctrl+Z,Undo,Firefox,Windows/macOS/Linux,Browser,Undo action in Firefox,High
Ctrl+Y,Redo,Firefox,Windows/macOS/Linux,Browser,Redo action in Firefox,High
Ctrl+S,Save,Firefox,Windows/macOS/Linux,Browser,Save action in Firefox,High
Ctrl+O,Open,Firefox,Windows/macOS/Linux,Browser,Open action in Firefox,High
Ctrl+N,New,Firefox,Windows/macOS/Linux,Browser,New action in Firefox,High
Ctrl+P,Print,Firefox,Windows/macOS/Linux,Browser,Print action in Firefox,High
Ctrl+F,Find,Firefox,Windows/macOS/Linux,Browser,Find action in Firefox,High
Ctrl+H,Replace,Firefox,Windows/macOS/Linux,Browser,Replace action in Firefox,High
Ctrl+A,Select All,Firefox,Windows/macOS/Linux,Browser,Select All action in Firefox,High
Ctrl+B,Bold,Firefox,Windows/macOS/Linux,Browser,Bold action in Firefox,High
Ctrl+I,Italic,Firefox,Windows/macOS/Linux,Browser,Italic action in Firefox,High
Ctrl+U,Underline,Firefox,Windows/macOS/Linux,Browser,Underline action in Firefox,High
Ctrl+T,New Tab,Firefox,Windows/macOS/Linux,Browser,New Tab action in Firefox,High
Ctrl+W,Close Tab,Firefox,Windows/macOS/Linux,Browser,Close Tab action in Firefox,High
Ctrl+Shift+P,Command Palette,Firefox,Windows/macOS/Linux,Browser,Command Palette action in Firefox,High
Alt+Tab,Switch Window,Firefox,Windows/macOS/Linux,Browser,Switch Window action in Firefox,High
Ctrl+Tab,Next Tab,Firefox,Windows/macOS/Linux,Browser,Next Tab action in Firefox,High
F1,Help,Firefox,Windows/macOS/Linux,Browser,Help action in Firefox,High
F2,Rename,Firefox,Windows/macOS/Linux,Browser,Rename action in Firefox,High
F5,Refresh,Firefox,Windows/macOS/Linux,Browser,Refresh action in Firefox,High
Ctrl+L,Focus Address Bar,Firefox,Windows/macOS/Linux,Browser,Focus Address Bar action in Firefox,High
Ctrl+D,Bookmark,Firefox,Windows/macOS/Linux,Browser,Bookmark action in Firefox,High
Ctrl+C,Copy,Edge,Windows/macOS/Linux,Browser,Copy action in Edge,High
Ctrl+V,Paste,Edge,Windows/macOS/Linux,Browser,Paste action in Edge,High
Ctrl+X,Cut,Edge,Windows/macOS/Linux,Browser,Cut action in Edge,High
Ctrl+Z,Undo,Edge,Windows/macOS/Linux,Browser,Undo action in Edge,High
Ctrl+Y,Redo,Edge,Windows/macOS/Linux,Browser,Redo action in Edge,High
Ctrl+S,Save,Edge,Windows/macOS/Linux,Browser,Save action in Edge,High
Ctrl+O,Open,Edge,Windows/macOS/Linux,Browser,Open action in Edge,High
Ctrl+N,New,Edge,Windows/macOS/Linux,Browser,New action in Edge,High
Ctrl+P,Print,Edge,Windows/macOS/Linux,Browser,Print action in Edge,High
Ctrl+F,Find,Edge,Windows/macOS/Linux,Browser,Find action in Edge,High
Ctrl+H,Replace,Edge,Windows/macOS/Linux,Browser,Replace action in Edge,High
Ctrl+A,Select All,Edge,Windows/macOS/Linux,Browser,Select All action in Edge,High
Ctrl+B,Bold,Edge,Windows/macOS/Linux,Browser,Bold action in Edge,High
Ctrl+I,Italic,Edge,Windows/macOS/Linux,Browser,Italic action in Edge,High
Ctrl+U,Underline,Edge,Windows/macOS/Linux,Browser,Underline action in Edge,High
Ctrl+T,New Tab,Edge,Windows/macOS/Linux,Browser,New Tab action in Edge,High
Ctrl+W,Close Tab,Edge,Windows/macOS/Linux,Browser,Close Tab action in Edge,High
Ctrl+Shift+P,Command Palette,Edge,Windows/macOS/Linux,Browser,Command Palette action in Edge,High
Alt+Tab,Switch Window,Edge,Windows/macOS/Linux,Browser,Switch Window action in Edge,High
Ctrl+Tab,Next Tab,Edge,Windows/macOS/Linux,Browser,Next Tab action in Edge,High
F1,Help,Edge,Windows/macOS/Linux,Browser,Help action in Edge,High
F2,Rename,Edge,Windows/macOS/Linux,Browser,Rename action in Edge,High
F5,Refresh,Edge,Windows/macOS/Linux,Browser,Refresh action in Edge,High
Ctrl+L,Focus Address Bar,Edge,Windows/macOS/Linux,Browser,Focus Address Bar action in Edge,High
Ctrl+D,Bookmark,Edge,Windows/macOS/Linux,Browser,Bookmark action in Edge,High
Ctrl+C,Copy,VS Code,Windows/macOS/Linux,IDE,Copy action in VS Code,High
Ctrl+V,Paste,VS Code,Windows/macOS/Linux,IDE,Paste action in VS Code,High
Ctrl+X,Cut,VS Code,Windows/macOS/Linux,IDE,Cut action in VS Code,High
Ctrl+Z,Undo,VS Code,Windows/macOS/Linux,IDE,Undo action in VS Code,High
Ctrl+Y,Redo,VS Code,Windows/macOS/Linux,IDE,Redo action in VS Code,High
Ctrl+S,Save,VS Code,Windows/macOS/Linux,IDE,Save action in VS Code,High
Ctrl+O,Open,VS Code,Windows/macOS/Linux,IDE,Open action in VS Code,High
Ctrl+N,New,VS Code,Windows/macOS/Linux,IDE,New action in VS Code,High
Ctrl+P,Print,VS Code,Windows/macOS/Linux,IDE,Print action in VS Code,High
Ctrl+F,Find,VS Code,Windows/macOS/Linux,IDE,Find action in VS Code,High
Ctrl+H,Replace,VS Code,Windows/macOS/Linux,IDE,Replace action in VS Code,High
Ctrl+A,Select All,VS Code,Windows/macOS/Linux,IDE,Select All action in VS Code,High
Ctrl+B,Bold,VS Code,Windows/macOS/Linux,IDE,Bold action in VS Code,High
Ctrl+I,Italic,VS Code,Windows/macOS/Linux,IDE,Italic action in VS Code,High
Ctrl+U,Underline,VS Code,Windows/macOS/Linux,IDE,Underline action in VS Code,High
Ctrl+T,New Tab,VS Code,Windows/macOS/Linux,IDE,New Tab action in VS Code,High
Ctrl+W,Close Tab,VS Code,Windows/macOS/Linux,IDE,Close Tab action in VS Code,High
Ctrl+Shift+P,Command Palette,VS Code,Windows/macOS/Linux,IDE,Command Palette action in VS Code,High
Alt+Tab,Switch Window,VS Code,Windows/macOS/Linux,IDE,Switch Window action in VS Code,High
Ctrl+Tab,Next Tab,VS Code,Windows/macOS/Linux,IDE,Next Tab action in VS Code,High
F1,Help,VS Code,Windows/macOS/Linux,IDE,Help action in VS Code,High
F2,Rename,VS Code,Windows/macOS/Linux,IDE,Rename action in VS Code,High
F5,Refresh,VS Code,Windows/macOS/Linux,IDE,Refresh action in VS Code,High
Ctrl+L,Focus Address Bar,VS Code,Windows/macOS/Linux,IDE,Focus Address Bar action in VS Code,High
Ctrl+D,Bookmark,VS Code,Windows/macOS/Linux,IDE,Bookmark action in VS Code,High
Ctrl+C,Copy,Word,Windows/macOS/Linux,Office,Copy action in Word,High
Ctrl+V,Paste,Word,Windows/macOS/Linux,Office,Paste action in Word,High
Ctrl+X,Cut,Word,Windows/macOS/Linux,Office,Cut action in Word,High
Ctrl+Z,Undo,Word,Windows/macOS/Linux,Office,Undo action in Word,High
Ctrl+Y,Redo,Word,Windows/macOS/Linux,Office,Redo action in Word,High
Ctrl+S,Save,Word,Windows/macOS/Linux,Office,Save action in Word,High
Ctrl+O,Open,Word,Windows/macOS/Linux,Office,Open action in Word,High
Ctrl+N,New,Word,Windows/macOS/Linux,Office,New action in Word,High
Ctrl+P,Print,Word,Windows/macOS/Linux,Office,Print action in Word,High
Ctrl+F,Find,Word,Windows/macOS/Linux,Office,Find action in Word,High
Ctrl+H,Replace,Word,Windows/macOS/Linux,Office,Replace action in Word,High
Ctrl+A,Select All,Word,Windows/macOS/Linux,Office,Select All action in Word,High
Ctrl+B,Bold,Word,Windows/macOS/Linux,Office,Bold action in Word,High
Ctrl+I,Italic,Word,Windows/macOS/Linux,Office,Italic action in Word,High
Ctrl+U,Underline,Word,Windows/macOS/Linux,Office,Underline action in Word,High
Ctrl+T,New Tab,Word,Windows/macOS/Linux,Office,New Tab action in Word,High
Ctrl+W,Close Tab,Word,Windows/macOS/Linux,Office,Close Tab action in Word,High
Ctrl+Shift+P,Command Palette,Word,Windows/macOS/Linux,Office,Command Palette action in Word,High
Alt+Tab,Switch Window,Word,Windows/macOS/Linux,Office,Switch Window action in Word,High
Ctrl+Tab,Next Tab,Word,Windows/macOS/Linux,Office,Next Tab action in Word,High
F1,Help,Word,Windows/macOS/Linux,Office,Help action in Word,High
F2,Rename,Word,Windows/macOS/Linux,Office,Rename action in Word,High
F5,Refresh,Word,Windows/macOS/Linux,Office,Refresh action in Word,High
Ctrl+L,Focus Address Bar,Word,Windows/macOS/Linux,Office,Focus Address Bar action in Word,High
Ctrl+D,Bookmark,Word,Windows/macOS/Linux,Office,Bookmark action in Word,High
Ctrl+C,Copy,Excel,Windows/macOS/Linux,Office,Copy action in Excel,High
Ctrl+V,Paste,Excel,Windows/macOS/Linux,Office,Paste action in Excel,High
Ctrl+X,Cut,Excel,Windows/macOS/Linux,Office,Cut action in Excel,High
Ctrl+Z,Undo,Excel,Windows/macOS/Linux,Office,Undo action in Excel,High
Ctrl+Y,Redo,Excel,Windows/macOS/Linux,Office,Redo action in Excel,High
Ctrl+S,Save,Excel,Windows/macOS/Linux,Office,Save action in Excel,High
Ctrl+O,Open,Excel,Windows/macOS/Linux,Office,Open action in Excel,High
Ctrl+N,New,Excel,Windows/macOS/Linux,Office,New action in Excel,High
Ctrl+P,Print,Excel,Windows/macOS/Linux,Office,Print action in Excel,High
Ctrl+F,Find,Excel,Windows/macOS/Linux,Office,Find action in Excel,High
Ctrl+H,Replace,Excel,Windows/macOS/Linux,Office,Replace action in Excel,High
Ctrl+A,Select All,Excel,Windows/macOS/Linux,Office,Select All action in Excel,High
Ctrl+B,Bold,Excel,Windows/macOS/Linux,Office,Bold action in Excel,High
Ctrl+I,Italic,Excel,Windows/macOS/Linux,Office,Italic action in Excel,High
Ctrl+U,Underline,Excel,Windows/macOS/Linux,Office,Underline action in Excel,High
Ctrl+T,New Tab,Excel,Windows/macOS/Linux,Office,New Tab action in Excel,High
Ctrl+W,Close Tab,Excel,Windows/macOS/Linux,Office,Close Tab action in Excel,High
Ctrl+Shift+P,Command Palette,Excel,Windows/macOS/Linux,Office,Command Palette action in Excel,High
Alt+Tab,Switch Window,Excel,Windows/macOS/Linux,Office,Switch Window action in Excel,High
Ctrl+Tab,Next Tab,Excel,Windows/macOS/Linux,Office,Next Tab action in Excel,High
F1,Help,Excel,Windows/macOS/Linux,Office,Help action in Excel,High
F2,Rename,Excel,Windows/macOS/Linux,Office,Rename action in Excel,High
F5,Refresh,Excel,Windows/macOS/Linux,Office,Refresh action in Excel,High
Ctrl+L,Focus Address Bar,Excel,Windows/macOS/Linux,Office,Focus Address Bar action in Excel,High
Ctrl+D,Bookmark,Excel,Windows/macOS/Linux,Office,Bookmark action in Excel,High
Ctrl+C,Copy,PowerPoint,Windows/macOS/Linux,Office,Copy action in PowerPoint,High
Ctrl+V,Paste,PowerPoint,Windows/macOS/Linux,Office,Paste action in PowerPoint,High
Ctrl+X,Cut,PowerPoint,Windows/macOS/Linux,Office,Cut action in PowerPoint,High
Ctrl+Z,Undo,PowerPoint,Windows/macOS/Linux,Office,Undo action in PowerPoint,High
Ctrl+Y,Redo,PowerPoint,Windows/macOS/Linux,Office,Redo action in PowerPoint,High
Ctrl+S,Save,PowerPoint,Windows/macOS/Linux,Office,Save action in PowerPoint,High
Ctrl+O,Open,PowerPoint,Windows/macOS/Linux,Office,Open action in PowerPoint,High
Ctrl+N,New,PowerPoint,Windows/macOS/Linux,Office,New action in PowerPoint,High
Ctrl+P,Print,PowerPoint,Windows/macOS/Linux,Office,Print action in PowerPoint,High
Ctrl+F,Find,PowerPoint,Windows/macOS/Linux,Office,Find action in PowerPoint,High
Ctrl+H,Replace,PowerPoint,Windows/macOS/Linux,Office,Replace action in PowerPoint,High
Ctrl+A,Select All,PowerPoint,Windows/macOS/Linux,Office,Select All action in PowerPoint,High
Ctrl+B,Bold,PowerPoint,Windows/macOS/Linux,Office,Bold action in PowerPoint,High
Ctrl+I,Italic,PowerPoint,Windows/macOS/Linux,Office,Italic action in PowerPoint,High
Ctrl+U,Underline,PowerPoint,Windows/macOS/Linux,Office,Underline action in PowerPoint,High
Ctrl+T,New Tab,PowerPoint,Windows/macOS/Linux,Office,New Tab action in PowerPoint,High
Ctrl+W,Close Tab,PowerPoint,Windows/macOS/Linux,Office,Close Tab action in PowerPoint,High
Ctrl+Shift+P,Command Palette,PowerPoint,Windows/macOS/Linux,Office,Command Palette action in PowerPoint,High
Alt+Tab,Switch Window,PowerPoint,Windows/macOS/Linux,Office,Switch Window action in PowerPoint,High
Ctrl+Tab,Next Tab,PowerPoint,Windows/macOS/Linux,Office,Next Tab action in PowerPoint,High
F1,Help,PowerPoint,Windows/macOS/Linux,Office,Help action in PowerPoint,High
F2,Rename,PowerPoint,Windows/macOS/Linux,Office,Rename action in PowerPoint,High
F5,Refresh,PowerPoint,Windows/macOS/Linux,Office,Refresh action in PowerPoint,High
Ctrl+L,Focus Address Bar,PowerPoint,Windows/macOS/Linux,Office,Focus Address Bar action in PowerPoint,High
Ctrl+D,Bookmark,PowerPoint,Windows/macOS/Linux,Office,Bookmark action in PowerPoint,High
Ctrl+C,Copy,Google Docs,Windows/macOS/Linux,Office,Copy action in Google Docs,High
Ctrl+V,Paste,Google Docs,Windows/macOS/Linux,Office,Paste action in Google Docs,High
Ctrl+X,Cut,Google Docs,Windows/macOS/Linux,Office,Cut action in Google Docs,High
